Order_ID,Gender_Category,Product_Line,Product_Name,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Size_Cat,Size_Cat_Encoded
2151,Kids,Soccer,Tiempo Legend,4,5619.75,0.0,22479.0,2025-05-27,Online,Bangalore,6771.132807553048,L,2
2153,Men,Running,React Infinity,2,6346.35,0.09,11550.357000000002,2024-08-18,Retail,Pune,3590.086330138889,L,2
2154,Kids,Lifestyle,Blazer Mid,2,2963.16,0.0,5926.32,2025-04-01,Online,Bangalore,1027.6788868266979,XL,3
2156,Men,Soccer,Tiempo Legend,2,6041.3,0.0,12082.6,2024-08-31,Online,Pune,2442.852910876134,M,1
2157,Kids,Soccer,Premier III,1,6082.075,0.0,6082.075,2025-04-29,Online,Delhi,995.6873898874808,L,2
2158,Women,Running,React Infinity,2,6346.35,0.5,6346.35,2025-01-28,Online,Mumbai,2186.2562055655603,M,1
2160,Kids,Running,Air Zoom,2,5548.255,0.0,11096.51,2025-03-01,Retail,Mumbai,3169.553165257263,XL,3
2163,Men,Lifestyle,Dunk Low,2,6091.98,1.0,0.0,2025-03-06,Retail,Hyderabad,0.0,S,0
2164,Women,Soccer,Mercurial Superfly,2,6969.28,0.95,696.9280000000006,2024-10-23,Online,Pune,126.87617729773176,M,1
2165,Kids,Training,SuperRep Go,4,4577.65,0.0,18310.6,2024-11-11,Retail,Kolkata,5147.19207157698,L,2
2166,Women,Lifestyle,Air Force 1,2,7312.38,0.0,14624.76,2025-01-02,Online,Mumbai,3247.3353567172135,M,1
2168,Women,Running,Pegasus Turbo,2,5349.1,0.85,1604.7300000000002,2024-08-01,Retail,Kolkata,504.66330731107826,L,2
2169,Kids,Training,Flex Trainer,4,4046.05,0.01,16022.358,2024-12-14,Retail,Delhi,4796.150167932755,L,2
2170,Kids,Lifestyle,Air Force 1,2,6656.01,0.0,13312.02,2025-06-28,Online,Kolkata,3219.5403982439207,M,1
2022,Women,Lifestyle,Air Force 1,2,9378.52,1.0,0.0,2023-10-29,Retail,Mumbai,0.0,L,2
2172,Women,Training,ZoomX Invincible,2,7988.99,1.0,0.0,2024-12-17,Online,Bangalore,0.0,M,1
2173,Men,Running,Free RN,2,6620.78,0.0,13241.56,2025-03-29,Online,Bangalore,3921.4032287586697,L,2
2176,Men,Soccer,Mercurial Superfly,4,6969.28,0.0,27877.12,2025-04-01,Online,Bangalore,6700.952121787053,L,2
2177,Women,Lifestyle,Waffle One,2,5610.219999999999,0.0,11220.439999999999,2025-06-27,Retail,Mumbai,3590.348227801224,XL,3
2178,Men,Running,Free RN,1,6299.575,0.0,6299.575,2024-10-28,Retail,Bangalore,1183.4662828712248,L,2
2179,Women,Training,ZoomX Invincible,3,6424.68,0.0,19274.04,2024-01-26,Retail,Pune,3690.808835028964,M,1
2180,Women,Basketball,LeBron 20,2,6531.36,0.0,13062.72,2024-05-15,Online,Pune,2400.058064315478,XL,3
2181,Women,Lifestyle,Air Force 1,2,6656.01,0.0,13312.02,2025-01-06,Retail,Delhi,4653.061659894669,XL,3
2185,Women,Training,ZoomX Invincible,4,4207.44,0.59,6900.201599999999,2025-06-08,Online,Kolkata,1505.6532434562116,XL,3
2187,Men,Running,React Infinity,2,7795.32,0.0,15590.64,2024-09-11,Online,Mumbai,3495.573594103734,L,2
2189,Men,Training,SuperRep Go,3,5587.585,0.9,1676.2754999999997,2024-10-02,Online,Hyderabad,321.92362324740014,L,2
2191,Men,Lifestyle,Air Force 1,3,6656.01,0.0,19968.03,2024-09-28,Retail,Pune,3318.910858444524,M,1
2192,Men,Basketball,Kyrie Flytrap,2,5562.46,0.0,11124.92,2023-10-13,Retail,Delhi,3239.6335635155056,XL,3
2193,Women,Lifestyle,Waffle One,2,5610.219999999999,1.0,0.0,2025-01-17,Retail,Delhi,0.0,XL,3
2194,Men,Soccer,Mercurial Superfly,2,6196.01,0.0,12392.02,2024-10-27,Online,Hyderabad,1969.9348203807851,M,1
2196,Kids,Soccer,Premier III,2,2708.73,0.0,5417.46,2025-06-30,Online,Delhi,1109.4215747430765,L,2
2197,Kids,Training,ZoomX Invincible,3,6424.68,0.0,19274.04,2024-10-06,Online,Bangalore,6094.911279600441,L,2
2198,Men,Training,SuperRep Go,4,5587.585,0.65,7822.619,2025-01-05,Online,Pune,2110.0963340061776,S,0
2201,Women,Training,SuperRep Go,2,5587.585,0.0,11175.17,2024-05-10,Online,Mumbai,3269.4694149897214,L,2
2202,Men,Basketball,Kyrie Flytrap,2,7918.93,1.0,0.0,2025-07-04,Retail,Bangalore,0.0,M,1
2204,Men,Basketball,LeBron 20,2,7660.41,0.0,15320.82,2025-05-17,Online,Delhi,4224.85816022436,S,0
2205,Women,Running,React Infinity,2,6346.35,0.0,12692.7,2025-04-24,Retail,Pune,4195.187298986239,XL,3
2209,Kids,Training,SuperRep Go,2,5587.585,0.0,11175.17,2024-09-01,Retail,Hyderabad,2110.6149434037184,L,2
2210,Men,Lifestyle,Blazer Mid,2,6100.23,0.0,12200.46,2024-09-08,Retail,Kolkata,4024.0007357404406,XL,3
2000,Kids,Training,Metcon 7,4,5829.985000000001,0.94,1399.1964000000014,2024-02-27,Retail,Bangalore,267.95850915938314,L,2
2212,Women,Lifestyle,Blazer Mid,2,7670.82,0.0,15341.64,2024-09-23,Online,Kolkata,3642.861333489255,L,2
2215,Men,Basketball,Zoom Freak,3,6172.36,0.36,11850.931199999999,2024-12-16,Online,Kolkata,3645.870188246306,XL,3
2217,Women,Lifestyle,Waffle One,2,5610.219999999999,0.0,11220.439999999999,2025-04-15,Retail,Delhi,2418.31274297473,L,2
2220,Kids,Training,SuperRep Go,2,5587.585,0.0,11175.17,2024-09-09,Online,Kolkata,3473.1287424504726,M,1
2221,Kids,Lifestyle,Waffle One,2,3375.97,0.0,6751.94,2024-01-06,Retail,Mumbai,1869.157386903301,L,2
2222,Men,Training,ZoomX Invincible,2,8897.19,0.11,15836.998200000002,2024-12-21,Retail,Mumbai,4222.984446846962,XL,3
2223,Kids,Training,Flex Trainer,2,9180.15,0.0,18360.3,2025-02-15,Online,Kolkata,3593.2783549490387,M,1
2224,Kids,Lifestyle,Dunk Low,2,6091.98,0.12,10721.8848,2024-09-24,Online,Pune,2092.6677794708776,L,2
2226,Women,Basketball,Zoom Freak,2,6172.36,0.31,8517.8568,2025-06-28,Online,Delhi,2280.727967555876,L,2
2228,Kids,Basketball,Zoom Freak,2,9382.15,0.0,18764.3,2024-08-22,Online,Kolkata,3651.7348515596873,L,2
2229,Men,Running,Air Zoom,2,7143.23,0.0,14286.46,2025-03-26,Retail,Mumbai,4603.2552973504935,XL,3
2231,Kids,Training,Flex Trainer,2,6481.055,1.0,0.0,2025-01-04,Online,Bangalore,0.0,M,1
2232,Women,Running,Free RN,2,2149.28,0.32,2923.0208,2024-11-17,Online,Kolkata,559.9110424187504,XL,3
2042,Men,Basketball,Kyrie Flytrap,1,5254.47,0.0,5254.47,2025-02-26,Retail,Bangalore,801.8358911685116,L,2
2237,Kids,Training,Metcon 7,2,5089.88,0.0,10179.76,2025-06-26,Online,Mumbai,3365.8758490456353,M,1
2239,Men,Training,SuperRep Go,2,5587.585,0.0,11175.17,2024-08-04,Online,Kolkata,2334.956158696491,XL,3
2240,Kids,Basketball,Air Jordan,2,9520.5,0.48,9901.32,2025-01-22,Retail,Kolkata,3166.288210978431,M,1
2241,Women,Soccer,Tiempo Legend,2,9662.04,0.0,19324.08,2025-02-19,Online,Hyderabad,3676.966645496343,XL,3
2243,Men,Lifestyle,Blazer Mid,2,9747.58,0.0,19495.16,2024-07-11,Retail,Delhi,5249.9424191962025,L,2
2245,Kids,Running,React Infinity,2,4128.35,0.0,8256.7,2025-04-16,Online,Pune,2129.904110127788,L,2
2246,Kids,Basketball,LeBron 20,2,7806.98,0.0,15613.96,2024-02-10,Online,Hyderabad,3966.701835797928,L,2
2247,Women,Training,Metcon 7,2,5829.985000000001,0.0,11659.970000000001,2024-08-16,Online,Mumbai,2441.7918091059746,L,2
2248,Men,Training,Metcon 7,4,8249.96,0.24,25079.878399999998,2024-01-16,Online,Bangalore,8295.757199859605,M,1
2249,Men,Training,Flex Trainer,2,7730.77,0.0,15461.54,2024-05-28,Online,Delhi,4966.6272569720295,M,1
2250,Men,Basketball,Kyrie Flytrap,2,5562.46,0.0,11124.92,2024-10-01,Retail,Pune,2442.498654834716,XL,3
2046,Men,Basketball,Air Jordan,2,9593.65,0.0,19187.3,2025-11-01,Online,Hyderabad,3348.991043455516,L,2
2253,Men,Training,Flex Trainer,2,6481.055,0.0,12962.11,2025-05-18,Online,Bangalore,2061.818287450685,M,1
2254,Women,Basketball,LeBron 20,2,6531.36,0.89,1436.8991999999998,2025-04-24,Online,Hyderabad,306.6767767937637,M,1
2255,Kids,Basketball,LeBron 20,2,2222.55,0.84,711.2160000000002,2025-04-06,Retail,Mumbai,166.2578511130834,XL,3
2256,Men,Soccer,Phantom GT,2,6012.23,0.0,12024.46,2025-03-30,Online,Hyderabad,3184.9316607068054,L,2
2257,Men,Basketball,Kyrie Flytrap,1,5562.46,0.0,5562.46,2025-02-09,Online,Mumbai,1413.1176481500836,XL,3
2258,Women,Lifestyle,Dunk Low,2,6091.98,0.39,7432.2155999999995,2023-11-21,Online,Mumbai,1291.55517283086,L,2
2259,Women,Soccer,Mercurial Superfly,2,6969.28,0.0,13938.56,2024-10-20,Retail,Delhi,4558.759991905379,M,1
2260,Women,Lifestyle,Dunk Low,2,6091.98,0.0,12183.96,2024-12-12,Retail,Pune,3763.1788872602056,M,1
2261,Women,Training,ZoomX Invincible,2,2503.6,0.54,2303.312,2024-04-10,Retail,Pune,763.3152264414423,L,2
2262,Women,Running,Pegasus Turbo,2,5349.1,0.0,10698.2,2024-09-15,Retail,Pune,1887.6762826109332,L,2
2263,Women,Soccer,Premier III,2,5172.14,0.0,10344.28,2024-10-08,Online,Kolkata,2948.6470987833704,M,1
2265,Women,Soccer,Premier III,2,2422.97,0.0,4845.94,2024-11-23,Retail,Delhi,1114.7236402053666,S,0
2266,Women,Basketball,LeBron 20,2,6531.36,0.0,13062.72,2025-07-19,Retail,Kolkata,2831.984340154029,L,2
2267,Women,Running,Air Zoom,2,3075.72,0.0,6151.44,2024-12-20,Retail,Kolkata,1426.669857133341,M,1
2268,Men,Soccer,Mercurial Superfly,3,7330.81,0.0,21992.43,2023-11-16,Online,Kolkata,7606.409796698418,M,1
2269,Women,Training,ZoomX Invincible,4,6424.32,0.0,25697.28,2024-07-14,Retail,Mumbai,6691.608417918036,L,2
2270,Men,Running,React Infinity,1,6346.35,1.0,0.0,2025-06-06,Retail,Pune,0.0,XL,3
2271,Kids,Lifestyle,Waffle One,2,5116.58,0.07,9516.8388,2024-05-03,Retail,Delhi,1437.956569828633,M,1
2038,Women,Training,ZoomX Invincible,1,7338.57,0.0,7338.57,2024-10-21,Retail,Delhi,1943.7036563166855,XL,3
2273,Kids,Running,Free RN,2,4004.36,0.0,8008.72,2024-01-30,Online,Kolkata,2036.8076344171754,M,1
2274,Women,Training,Metcon 7,4,5829.985000000001,0.45,12825.967000000002,2025-06-13,Online,Bangalore,2283.5092175433697,S,0
2275,Kids,Running,Pegasus Turbo,2,5349.1,0.0,10698.2,2025-03-07,Online,Pune,1891.3032269832001,M,1
2276,Kids,Lifestyle,Air Force 1,2,6066.5,0.0,12133.0,2023-08-29,Retail,Kolkata,3523.030514172611,L,2
2277,Kids,Basketball,LeBron 20,2,3682.84,0.0,7365.68,2024-12-28,Online,Hyderabad,2450.699361177299,M,1
2278,Men,Training,SuperRep Go,2,5587.585,1.0,0.0,2025-07-03,Retail,Pune,0.0,L,2
2279,Women,Lifestyle,Blazer Mid,2,6100.23,0.0,12200.46,2024-08-03,Retail,Mumbai,4045.0007520432464,S,0
2280,Women,Soccer,Mercurial Superfly,2,6969.28,0.0,13938.56,2025-02-13,Online,Delhi,2894.003194600304,M,1
2281,Kids,Lifestyle,Waffle One,2,5610.219999999999,0.0,11220.439999999999,2025-07-13,Retail,Kolkata,2998.337686775656,M,1
2282,Men,Running,Free RN,2,6299.575,0.26,9323.371,2024-11-14,Retail,Mumbai,2209.815482539954,L,2
2283,Men,Soccer,Mercurial Superfly,1,6969.28,0.0,6969.28,2024-08-21,Retail,Delhi,1205.1027419707343,L,2
2284,Kids,Soccer,Mercurial Superfly,2,6969.28,0.53,6551.123199999999,2024-08-10,Online,Kolkata,1569.241593136589,M,1
2286,Women,Lifestyle,Waffle One,2,5610.219999999999,0.0,11220.439999999999,2024-10-16,Online,Bangalore,3373.445867048495,L,2
2288,Women,Training,ZoomX Invincible,2,6424.68,0.25,9637.02,2024-08-24,Retail,Hyderabad,3161.6282506692123,L,2
2290,Women,Training,Flex Trainer,2,6481.055,0.0,12962.11,2024-10-20,Online,Kolkata,2362.574399998532,L,2
2292,Women,Running,Free RN,2,6299.575,1.0,0.0,2024-05-11,Online,Kolkata,0.0,M,1
2293,Women,Basketball,Air Jordan,3,5967.92,0.0,17903.760000000002,2025-05-13,Retail,Mumbai,2798.677118091754,XL,3
