Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Transaction_Type,Profit_Flag
2031,Men,Soccer,Premier III,,4,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7,Sale,Valid
2032,Women,Lifestyle,Blazer Mid,XL,1,5786.02,1.0,0.0,2025-11-04,Retail,Mumbai,-555.16,Sale,Valid
2034,Men,Basketball,Air Jordan,6,2,6235.71,0.0,12471.42,2025-04-30,Retail,Delhi,-267.37,Sale,Valid
2035,Kids,Basketball,Zoom Freak,,4,6172.36,0.38,15307.45,2024-11-17,Online,Bangalore,2914.83,Sale,Valid
2036,Men,Training,Metcon 7,,3,5744.7,0.0,17234.1,2025-02-15,Retail,Bangalore,-143.8,Sale,Valid
2039,Women,Training,Flex Trainer,M,1,2767.7,0.63,1024.05,2025-04-22,Retail,Hyderabad,-336.3,Sale,Valid
2002,Women,Basketball,Zoom Freak,XL,3,5075.22,0.0,15225.66,2025-07-03,Retail,Delhi,145.08,Sale,Valid
2041,Kids,Soccer,Tiempo Legend,12,2,5553.88,0.0,11107.76,2025-03-05,Online,Hyderabad,2371.66,Sale,Valid
2042,Women,Basketball,Kyrie Flytrap,L,2,5584.225,0.0,11168.45,2025-04-19,Online,Hyderabad,-862.16,Sale,Valid
2043,Men,Soccer,Premier III,XL,2,3492.89,0.77,1606.73,2024-05-02,Retail,Delhi,3770.75,Sale,Review
2044,Kids,Training,SuperRep Go,,1,5587.585,0.0,5587.58,2023-09-06,Online,Delhi,2174.71,Sale,Valid
2045,Kids,Lifestyle,Dunk Low,XL,4,6091.98,0.0,24367.92,2025-04-06,Retail,Delhi,1833.94,Sale,Valid
2047,Women,Training,SuperRep Go,10,1,8577.75,0.0,8577.75,2024-06-13,Retail,Bangalore,2888.68,Sale,Valid
2048,Women,Basketball,Air Jordan,XL,2,5974.92,0.0,11949.84,2024-10-27,Online,Bangalore,2875.86,Sale,Valid
2051,Women,Basketball,Air Jordan,XL,2,5974.92,0.37,7528.4,2024-01-05,Retail,Delhi,3135.98,Sale,Valid
2052,Men,Training,Flex Trainer,10,3,9155.96,0.0,27467.88,2024-10-08,Retail,Pune,2184.8,Sale,Valid
2053,Men,Lifestyle,Air Force 1,XL,3,6009.58,0.0,18028.74,2024-10-02,Online,Delhi,3384.92,Sale,Valid
2054,Women,Training,Flex Trainer,11,1,6481.055,0.0,6481.06,2025-06-23,Online,Mumbai,-549.76,Return,Valid
2055,Men,Basketball,Kyrie Flytrap,L,2,5584.225,0.0,11168.45,2024-10-26,Online,Hyderabad,-1078.76,Sale,Valid
2056,Men,Running,React Infinity,L,3,6346.35,0.0,19039.05,2024-05-31,Retail,Bangalore,-244.44,Sale,Valid
2059,Kids,Soccer,Phantom GT,,1,9507.54,0.0,9507.54,2023-12-27,Retail,Delhi,291.28,Return,Valid
2060,Men,Lifestyle,Waffle One,L,2,7979.26,0.0,15958.52,2024-07-11,Online,Bangalore,2821.59,Sale,Valid
2061,Women,Basketball,LeBron 20,L,2,6630.92,0.0,13261.84,2024-10-09,Online,Mumbai,-501.68,Sale,Valid
2062,Men,Basketball,Air Jordan,,2,5974.92,0.0,11949.84,2025-06-06,Online,Bangalore,1823.91,Sale,Valid
2063,Women,Basketball,Air Jordan,M,1,9751.0,0.16,8190.84,2024-06-09,Retail,Pune,1130.31,Sale,Valid
2064,Kids,Running,React Infinity,L,2,7557.71,0.0,15115.42,2025-03-02,Online,Bangalore,3277.44,Sale,Valid
2065,Women,Lifestyle,Waffle One,10,2,5349.78,0.78,2353.9,2024-02-11,Retail,Hyderabad,21.58,Sale,Valid
2066,Men,Soccer,Phantom GT,XL,1,5259.05,0.0,5259.05,2024-12-10,Online,Mumbai,1022.82,Return,Valid
2067,Kids,Basketball,LeBron 20,L,4,3588.38,0.0,14353.52,2025-06-05,Online,Kolkata,161.5,Sale,Valid
2068,Men,Running,Free RN,,4,2553.29,0.0,10213.16,2024-12-05,Retail,Mumbai,984.9,Sale,Valid
2069,Women,Training,SuperRep Go,,1,7502.24,0.0,7502.24,2025-07-14,Online,Pune,3554.58,Sale,Valid
2071,Kids,Lifestyle,Blazer Mid,M,3,7849.81,0.49,12010.21,2025-01-12,Retail,Pune,-882.96,Sale,Valid
2073,Women,Lifestyle,Blazer Mid,12,4,5786.02,0.85,3471.61,2024-03-11,Online,Hyderabad,443.86,Sale,Valid
2075,Kids,Basketball,Air Jordan,L,4,4251.74,0.0,17006.96,2025-07-14,Online,Pune,2345.35,Sale,Valid
2076,Women,Training,ZoomX Invincible,11,1,6424.68,0.0,6424.68,2024-10-13,Retail,Bangalore,2011.25,Sale,Valid
2077,Men,Training,ZoomX Invincible,L,1,6424.68,0.0,6424.68,2023-11-21,Online,Pune,3332.66,Sale,Valid
2079,Men,Running,Pegasus Turbo,XL,1,4322.06,0.0,4322.06,2025-01-19,Online,Bangalore,279.78,Return,Valid
2080,Men,Lifestyle,Blazer Mid,L,2,5786.02,0.0,11572.04,2025-03-31,Online,Bangalore,-1005.89,Sale,Valid
2028,Men,Running,Free RN,,1,6299.575,0.21,4976.66,2024-02-14,Online,Hyderabad,3303.01,Return,Valid
2083,Men,Running,Free RN,,1,9291.74,0.0,9291.74,2024-10-14,Retail,Delhi,-981.21,Sale,Valid
2084,Men,Training,Metcon 7,M,2,5744.7,0.0,11489.4,2023-12-24,Online,Mumbai,408.39,Sale,Valid
2085,Men,Basketball,Kyrie Flytrap,,2,7561.85,0.0,15123.7,2024-12-17,Retail,Kolkata,98.72,Sale,Valid
2087,Kids,Basketball,Zoom Freak,,2,4656.28,0.0,9312.56,2024-11-01,Online,Kolkata,3777.5,Sale,Valid
2088,Women,Running,Free RN,XL,4,6299.575,0.0,25198.3,2025-04-26,Online,Bangalore,2702.93,Sale,Valid
2089,Women,Training,Flex Trainer,L,2,6874.77,0.6,5499.82,2024-02-12,Online,Mumbai,-1076.66,Sale,Valid
2094,Kids,Training,Flex Trainer,10,1,4276.36,0.0,4276.36,2024-10-11,Retail,Delhi,2974.58,Sale,Valid
2095,Men,Lifestyle,Waffle One,M,2,5349.78,0.0,10699.56,2024-10-16,Online,Delhi,880.57,Sale,Valid
2096,Men,Running,Pegasus Turbo,XL,2,5286.01,0.0,10572.02,2024-12-24,Online,Kolkata,288.66,Sale,Valid
2098,Men,Training,ZoomX Invincible,L,1,5690.69,0.69,1764.11,2024-01-24,Online,Hyderabad,98.3,Sale,Valid
2099,Kids,Soccer,Mercurial Superfly,M,2,6769.465,0.32,9206.47,2025-01-02,Retail,Mumbai,360.97,Sale,Valid
2100,Kids,Soccer,Phantom GT,8,1,5937.52,0.0,5937.52,2025-07-11,Retail,Mumbai,2287.57,Sale,Valid
2101,Kids,Running,Free RN,XL,1,2010.07,0.0,2010.07,2025-07-03,Online,Hyderabad,3398.01,Sale,Review
2102,Women,Soccer,Mercurial Superfly,XL,1,6769.465,0.77,1556.98,2025-10-04,Online,Pune,284.17,Return,Valid
2103,Women,Basketball,LeBron 20,XL,1,6777.88,0.0,6777.88,2025-01-08,Online,Kolkata,469.61,Return,Valid
2105,Kids,Training,Metcon 7,,2,5744.7,0.0,11489.4,2024-11-17,Retail,Mumbai,1716.04,Sale,Valid
2107,Women,Running,React Infinity,M,4,6346.35,0.0,25385.4,2024-08-30,Online,Hyderabad,-184.69,Sale,Valid
2108,Kids,Lifestyle,Air Force 1,XL,2,6554.6849999999995,0.27,9569.84,2024-11-15,Retail,Mumbai,-338.77,Sale,Valid
2110,Kids,Running,Air Zoom,12,1,5548.255,0.42,3217.99,2024-12-25,Retail,Pune,-259.29,Sale,Valid
2111,Men,Lifestyle,Waffle One,,2,5349.78,1.0,0.0,2024-11-21,Retail,Bangalore,1326.67,Sale,Review
2113,Women,Basketball,Air Jordan,XL,2,3939.34,0.0,7878.68,2023-12-19,Retail,Pune,2918.93,Sale,Valid
2116,Women,Basketball,LeBron 20,,2,4038.32,1.0,0.0,2024-08-27,Online,Hyderabad,2088.55,Sale,Review
2118,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.0,16853.08,2023-09-21,Online,Hyderabad,2696.85,Sale,Valid
2119,Women,Training,Metcon 7,11,1,5744.7,0.41,3389.37,2025-05-04,Retail,Kolkata,2887.81,Return,Valid
2120,Men,Soccer,Phantom GT,12,2,6012.23,0.0,12024.46,2024-12-14,Retail,Pune,-328.0,Sale,Valid
2123,Men,Running,Air Zoom,L,1,5548.255,0.0,5548.26,2024-09-15,Retail,Hyderabad,2195.52,Sale,Valid
2124,Kids,Basketball,Kyrie Flytrap,L,2,6436.11,1.0,0.0,2025-04-07,Online,Kolkata,432.04,Sale,Review
2125,Women,Soccer,Tiempo Legend,M,2,5830.525,0.0,11661.05,2024-10-12,Retail,Hyderabad,1051.22,Sale,Valid
2126,Kids,Running,Pegasus Turbo,L,1,5399.58,0.0,5399.58,2024-12-14,Retail,Pune,2508.34,Return,Valid
2127,Men,Training,Metcon 7,L,1,4020.5,0.0,4020.5,2023-08-19,Online,Mumbai,3718.37,Return,Valid
2130,Men,Soccer,Premier III,10,3,6060.035,0.24,13816.88,2024-09-14,Online,Bangalore,2962.75,Sale,Valid
2133,Men,Training,Metcon 7,XL,1,6789.53,0.0,6789.53,2024-10-10,Retail,Pune,-166.81,Sale,Valid
2134,Men,Training,ZoomX Invincible,M,1,4738.62,0.0,4738.62,2024-06-08,Online,Hyderabad,1009.28,Sale,Valid
2135,Men,Basketball,Zoom Freak,L,2,9106.61,0.74,4735.44,2024-11-03,Retail,Hyderabad,2422.38,Sale,Valid
2136,Kids,Training,ZoomX Invincible,L,1,6424.68,0.0,6424.68,2024-09-15,Online,Pune,3672.24,Sale,Valid
2138,Men,Running,Pegasus Turbo,11,2,8055.2,0.0,16110.4,2025-06-14,Online,Mumbai,1840.09,Sale,Valid
2139,Women,Basketball,Air Jordan,M,2,5974.92,0.0,11949.84,2025-06-19,Retail,Mumbai,-334.52,Sale,Valid
2140,Men,Basketball,Zoom Freak,M,2,6765.74,0.0,13531.48,2025-04-28,Online,Bangalore,-875.45,Sale,Valid
2141,Kids,Soccer,Tiempo Legend,,2,5830.525,1.0,0.0,2023-11-22,Retail,Kolkata,-1032.47,Sale,Valid
2142,Kids,Soccer,Mercurial Superfly,,2,6769.465,0.0,13538.93,2024-10-03,Retail,Kolkata,-995.59,Sale,Valid
2143,Kids,Training,ZoomX Invincible,L,1,6424.68,0.0,6424.68,2025-03-10,Online,Delhi,1006.66,Return,Valid
2144,Women,Lifestyle,Waffle One,,4,5349.78,0.0,21399.12,2025-03-30,Online,Kolkata,2385.1,Sale,Valid
2146,Kids,Basketball,Air Jordan,XL,2,5974.92,1.0,0.0,2025-02-15,Retail,Mumbai,-908.85,Sale,Valid
2147,Women,Soccer,Phantom GT,XL,1,6012.23,0.0,6012.23,2024-09-14,Online,Hyderabad,-426.53,Return,Valid
2148,Men,Basketball,Kyrie Flytrap,,2,5584.225,0.0,11168.45,2025-06-19,Online,Hyderabad,520.55,Sale,Valid
2149,Women,Running,Pegasus Turbo,,1,5286.01,0.0,5286.01,2025-05-20,Online,Kolkata,-595.69,Sale,Valid
2150,Women,Basketball,LeBron 20,M,2,3313.21,0.48,3445.74,2025-06-07,Online,Bangalore,3221.62,Sale,Valid
2151,Kids,Soccer,Tiempo Legend,L,4,5619.75,0.0,22479.0,2025-05-27,Online,Bangalore,2000.85,Sale,Valid
2154,Kids,Lifestyle,Blazer Mid,XL,2,2963.16,0.0,5926.32,2025-04-01,Online,Bangalore,2381.85,Sale,Valid
2157,Kids,Soccer,Premier III,,1,6060.035,0.0,6060.04,2025-04-29,Online,Delhi,-701.01,Sale,Valid
2158,Women,Running,React Infinity,M,1,6346.35,0.5,3173.18,2025-01-28,Online,Mumbai,514.79,Return,Valid
2160,Kids,Running,Air Zoom,XL,1,5548.255,0.0,5548.26,2025-03-01,Retail,Mumbai,3744.91,Sale,Valid
2163,Men,Lifestyle,Dunk Low,7,2,6091.98,1.0,0.0,2025-03-06,Retail,Hyderabad,3344.98,Sale,Review
2165,Kids,Training,SuperRep Go,L,4,4577.65,0.0,18310.6,2024-11-11,Retail,Kolkata,2460.19,Sale,Valid
2166,Women,Lifestyle,Air Force 1,M,2,7312.38,0.0,14624.76,2025-01-02,Online,Mumbai,3364.05,Sale,Valid
2168,Women,Running,Pegasus Turbo,,1,5286.01,0.85,792.9,2024-08-01,Retail,Kolkata,3011.49,Sale,Review
2169,Kids,Training,Flex Trainer,,4,4046.05,0.01,16022.36,2024-12-14,Retail,Delhi,1057.58,Sale,Valid
2172,Women,Training,ZoomX Invincible,M,1,7988.99,1.0,0.0,2024-12-17,Online,Bangalore,-909.86,Sale,Valid
2173,Men,Running,Free RN,L,1,6620.78,0.0,6620.78,2025-03-29,Online,Bangalore,3770.03,Return,Valid
2176,Men,Soccer,Mercurial Superfly,,4,6769.465,0.0,27077.86,2025-04-01,Online,Bangalore,3908.28,Sale,Valid
2177,Women,Lifestyle,Waffle One,XL,2,5349.78,0.0,10699.56,2025-06-27,Retail,Mumbai,885.37,Sale,Valid
2178,Men,Running,Free RN,,1,6299.575,0.0,6299.58,2024-10-28,Retail,Bangalore,-983.37,Sale,Valid
2179,Women,Training,ZoomX Invincible,M,3,6424.68,0.0,19274.04,2024-01-26,Retail,Pune,3135.92,Sale,Valid
2180,Women,Basketball,LeBron 20,XL,2,6630.92,0.0,13261.84,2024-05-15,Online,Pune,2189.84,Sale,Valid
2181,Women,Lifestyle,Air Force 1,XL,2,6554.6849999999995,0.0,13109.37,2025-01-06,Retail,Delhi,419.58,Sale,Valid
2185,Women,Training,ZoomX Invincible,XL,4,4207.44,0.59,6900.2,2025-06-08,Online,Kolkata,-615.48,Sale,Valid
2187,Men,Running,React Infinity,L,1,7795.32,0.0,7795.32,2024-09-11,Online,Mumbai,2402.99,Sale,Valid
2189,Men,Training,SuperRep Go,L,3,5587.585,0.9,1676.28,2024-10-02,Online,Hyderabad,3628.46,Sale,Review
2191,Men,Lifestyle,Air Force 1,8,3,6554.6849999999995,0.0,19664.06,2024-09-28,Retail,Pune,-1032.88,Sale,Valid
2192,Men,Basketball,Kyrie Flytrap,XL,1,5584.225,0.0,5584.22,2023-10-13,Retail,Delhi,554.91,Return,Valid
2193,Women,Lifestyle,Waffle One,XL,1,5349.78,1.0,0.0,2025-01-17,Retail,Delhi,1803.66,Return,Review
2194,Men,Soccer,Mercurial Superfly,M,2,6196.01,0.0,12392.02,2024-10-27,Online,Hyderabad,926.03,Sale,Valid
2196,Kids,Soccer,Premier III,L,2,2708.73,0.0,5417.46,2025-06-30,Online,Delhi,925.63,Sale,Valid
2197,Kids,Training,ZoomX Invincible,L,3,6424.68,0.0,19274.04,2024-10-06,Online,Bangalore,-418.5,Sale,Valid
2198,Men,Training,SuperRep Go,7,4,5587.585,0.65,7822.62,2025-01-05,Online,Pune,-169.33,Sale,Valid
2201,Women,Training,SuperRep Go,11,1,5587.585,0.0,5587.58,2024-05-10,Online,Mumbai,1403.56,Sale,Valid
2202,Men,Basketball,Kyrie Flytrap,M,1,7918.93,1.0,0.0,2025-07-04,Retail,Bangalore,1994.42,Return,Review
2204,Men,Basketball,LeBron 20,7,2,7660.41,0.0,15320.82,2025-05-17,Online,Delhi,2076.75,Sale,Valid
2209,Kids,Training,SuperRep Go,,1,5587.585,0.0,5587.58,2024-09-01,Retail,Hyderabad,1956.7,Sale,Valid
2210,Men,Lifestyle,Blazer Mid,XL,2,5786.02,0.0,11572.04,2024-09-08,Retail,Kolkata,701.02,Sale,Valid
2212,Women,Lifestyle,Blazer Mid,L,2,7670.82,0.0,15341.64,2024-09-23,Online,Kolkata,-87.95,Sale,Valid
2215,Men,Basketball,Zoom Freak,XL,3,6172.36,0.36,11850.93,2024-12-16,Online,Kolkata,3254.06,Sale,Valid
2217,Women,Lifestyle,Waffle One,L,2,5349.78,0.0,10699.56,2025-04-15,Retail,Delhi,2190.84,Sale,Valid
2220,Kids,Training,SuperRep Go,M,1,5587.585,0.0,5587.58,2024-09-09,Online,Kolkata,890.14,Sale,Valid
2221,Kids,Lifestyle,Waffle One,L,2,3375.97,0.0,6751.94,2024-01-06,Retail,Mumbai,-297.05,Sale,Valid
2222,Men,Training,ZoomX Invincible,XL,2,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69,Sale,Valid
2223,Kids,Training,Flex Trainer,M,1,9180.15,0.0,9180.15,2025-02-15,Online,Kolkata,799.28,Return,Valid
2224,Kids,Lifestyle,Dunk Low,,1,6091.98,0.12,5360.94,2024-09-24,Online,Pune,3278.7,Return,Valid
2226,Women,Basketball,Zoom Freak,,2,6172.36,0.31,8517.86,2025-06-28,Online,Delhi,-131.04,Sale,Valid
2228,Kids,Basketball,Zoom Freak,,2,9382.15,0.0,18764.3,2024-08-22,Online,Kolkata,-127.34,Sale,Valid
2229,Men,Running,Air Zoom,XL,1,7143.23,0.0,7143.23,2025-03-26,Retail,Mumbai,3284.36,Sale,Valid
2232,Women,Running,Free RN,XL,1,2149.28,0.32,1461.51,2024-11-17,Online,Kolkata,2409.87,Sale,Review
2234,Men,Training,Flex Trainer,,4,6189.1,1.0,0.0,2024-12-21,Retail,Bangalore,2085.62,Sale,Review
2237,Kids,Training,Metcon 7,M,1,5089.88,0.0,5089.88,2025-06-26,Online,Mumbai,-238.18,Sale,Valid
2239,Men,Training,SuperRep Go,XL,1,5587.585,0.0,5587.58,2024-08-04,Online,Kolkata,1750.71,Sale,Valid
2240,Kids,Basketball,Air Jordan,M,2,9520.5,0.48,9901.32,2025-01-22,Retail,Kolkata,-928.85,Sale,Valid
2241,Women,Soccer,Tiempo Legend,12,2,9662.04,0.0,19324.08,2025-02-19,Online,Hyderabad,-233.74,Sale,Valid
2243,Men,Lifestyle,Blazer Mid,L,2,9747.58,0.0,19495.16,2024-07-11,Retail,Delhi,266.31,Sale,Valid
2245,Kids,Running,React Infinity,,1,4128.35,0.0,4128.35,2025-04-16,Online,Pune,-290.33,Sale,Valid
2246,Kids,Basketball,LeBron 20,L,1,7806.98,0.0,7806.98,2024-02-10,Online,Hyderabad,-943.35,Return,Valid
2247,Women,Training,Metcon 7,,1,5744.7,0.0,5744.7,2024-08-16,Online,Mumbai,-1158.15,Sale,Valid
2248,Men,Training,Metcon 7,M,4,8249.96,0.24,25079.88,2024-01-16,Online,Bangalore,1625.14,Sale,Valid
2249,Men,Training,Flex Trainer,M,1,7730.77,0.0,7730.77,2024-05-28,Online,Delhi,-692.94,Sale,Valid
2250,Men,Basketball,Kyrie Flytrap,XL,2,5584.225,0.0,11168.45,2024-10-01,Retail,Pune,821.13,Sale,Valid
2046,Men,Basketball,Air Jordan,,2,9593.65,0.0,19187.3,2025-11-01,Online,Hyderabad,1592.5,Sale,Valid
2254,Women,Basketball,LeBron 20,M,2,6630.92,0.89,1458.8,2025-04-24,Online,Hyderabad,1642.0,Sale,Review
2255,Kids,Basketball,LeBron 20,XL,2,2222.55,0.84,711.22,2025-04-06,Retail,Mumbai,586.56,Sale,Valid
2256,Men,Soccer,Phantom GT,,2,6012.23,0.0,12024.46,2025-03-30,Online,Hyderabad,3175.83,Sale,Valid
2257,Men,Basketball,Kyrie Flytrap,XL,1,5584.225,0.0,5584.22,2025-02-09,Online,Mumbai,-365.42,Sale,Valid
2258,Women,Lifestyle,Dunk Low,L,2,6091.98,0.39,7432.22,2023-11-21,Online,Mumbai,2824.7,Sale,Valid
2259,Women,Soccer,Mercurial Superfly,M,2,6769.465,0.0,13538.93,2024-10-20,Retail,Delhi,2323.89,Sale,Valid
2260,Women,Lifestyle,Dunk Low,M,2,6091.98,0.0,12183.96,2024-12-12,Retail,Pune,-352.18,Sale,Valid
2261,Women,Training,ZoomX Invincible,,1,2503.6,0.54,1151.66,2024-04-10,Retail,Pune,1574.74,Sale,Review
2264,Men,Training,ZoomX Invincible,,4,5622.32,1.0,0.0,2024-04-22,Retail,Bangalore,1248.25,Sale,Review
2265,Women,Soccer,Premier III,7,2,2422.97,0.0,4845.94,2024-11-23,Retail,Delhi,-67.74,Sale,Valid
2266,Women,Basketball,LeBron 20,L,2,6630.92,0.0,13261.84,2025-07-19,Retail,Kolkata,3475.59,Sale,Valid
2267,Women,Running,Air Zoom,M,1,3075.72,0.0,3075.72,2024-12-20,Retail,Kolkata,238.78,Return,Valid
2268,Men,Soccer,Mercurial Superfly,M,3,7330.81,0.0,21992.43,2023-11-16,Online,Kolkata,518.71,Sale,Valid
2269,Women,Training,ZoomX Invincible,11,4,6424.32,0.0,25697.28,2024-07-14,Retail,Mumbai,-405.26,Sale,Valid
2270,Men,Running,React Infinity,XL,1,6346.35,1.0,0.0,2025-06-06,Retail,Pune,3088.25,Sale,Review
2271,Kids,Lifestyle,Waffle One,9,2,5116.58,0.07,9516.84,2024-05-03,Retail,Delhi,1293.94,Sale,Valid
2038,Women,Training,ZoomX Invincible,XL,1,7338.57,0.0,7338.57,2024-10-21,Retail,Delhi,3680.24,Sale,Valid
2273,Kids,Running,Free RN,M,1,4004.36,0.0,4004.36,2024-01-30,Online,Kolkata,-614.66,Return,Valid
2274,Women,Training,Metcon 7,6,4,5744.7,0.45,12638.34,2025-06-13,Online,Bangalore,2561.89,Sale,Valid
2275,Kids,Running,Pegasus Turbo,M,1,5286.01,0.0,5286.01,2025-03-07,Online,Pune,-783.71,Return,Valid
2276,Kids,Lifestyle,Air Force 1,L,1,6066.5,0.0,6066.5,2023-08-29,Retail,Kolkata,1181.87,Return,Valid
2277,Kids,Basketball,LeBron 20,M,2,3682.84,0.0,7365.68,2024-12-28,Online,Hyderabad,3967.77,Sale,Valid
2278,Men,Training,SuperRep Go,11,1,5587.585,1.0,0.0,2025-07-03,Retail,Pune,3638.15,Sale,Review
2279,Women,Lifestyle,Blazer Mid,6,2,5786.02,0.0,11572.04,2024-08-03,Retail,Mumbai,766.72,Sale,Valid
2280,Women,Soccer,Mercurial Superfly,M,1,6769.465,0.0,6769.46,2025-02-13,Online,Delhi,3069.57,Return,Valid
2281,Kids,Lifestyle,Waffle One,M,2,5349.78,0.0,10699.56,2025-07-13,Retail,Kolkata,1753.48,Sale,Valid
2282,Men,Running,Free RN,,1,6299.575,0.26,4661.69,2024-11-14,Retail,Mumbai,-1002.46,Sale,Valid
2283,Men,Soccer,Mercurial Superfly,10,1,6769.465,0.0,6769.46,2024-08-21,Retail,Delhi,468.59,Sale,Valid
2284,Kids,Soccer,Mercurial Superfly,M,2,6769.465,0.53,6363.3,2024-08-10,Online,Kolkata,1370.01,Sale,Valid
2286,Women,Lifestyle,Waffle One,,2,5349.78,0.0,10699.56,2024-10-16,Online,Bangalore,2419.09,Sale,Valid
2288,Women,Training,ZoomX Invincible,,1,6424.68,0.25,4818.51,2024-08-24,Retail,Hyderabad,1570.91,Sale,Valid
2290,Women,Training,Flex Trainer,L,1,6481.055,0.0,6481.06,2024-10-20,Online,Kolkata,546.66,Sale,Valid
2292,Women,Running,Free RN,M,2,6299.575,1.0,0.0,2024-05-11,Online,Kolkata,1192.5,Sale,Review
2293,Women,Basketball,Air Jordan,XL,3,5974.92,0.0,17924.76,2025-05-13,Retail,Mumbai,2525.87,Sale,Valid
2012,Women,Soccer,Phantom GT,,2,6012.23,0.0,12024.46,2024-01-09,Retail,Hyderabad,-914.59,Sale,Valid
2295,Kids,Lifestyle,Dunk Low,,2,6091.98,0.81,2314.95,2025-06-17,Retail,Hyderabad,3901.16,Sale,Review
2296,Women,Soccer,Phantom GT,,2,6012.23,0.0,12024.46,2024-08-15,Online,Delhi,-1188.86,Sale,Valid
2297,Kids,Basketball,LeBron 20,M,2,6356.31,0.74,3305.28,2024-12-31,Online,Pune,454.97,Sale,Valid
2298,Men,Training,SuperRep Go,,1,5571.14,0.49,2841.28,2025-11-06,Retail,Kolkata,3445.5,Sale,Review
2299,Kids,Soccer,Phantom GT,,2,6012.23,0.77,2765.63,2025-09-05,Online,Hyderabad,2596.8,Sale,Valid
2300,Men,Basketball,Air Jordan,L,3,6331.64,0.78,4178.88,2024-08-17,Retail,Delhi,3380.28,Sale,Valid
2301,Men,Soccer,Mercurial Superfly,XL,2,7982.2,0.0,15964.4,2024-12-29,Online,Pune,-505.58,Sale,Valid
2303,Kids,Running,Free RN,L,2,2504.09,0.0,5008.18,2024-12-24,Retail,Hyderabad,2971.55,Sale,Valid
2304,Men,Training,Flex Trainer,11,1,6481.055,0.0,6481.06,2024-11-28,Online,Hyderabad,2055.87,Sale,Valid
2306,Kids,Basketball,Air Jordan,,1,8267.56,0.29,5869.97,2024-11-10,Retail,Bangalore,476.25,Sale,Valid
2307,Women,Running,Free RN,XL,2,9369.1,0.0,18738.2,2025-06-18,Retail,Kolkata,2390.7,Sale,Valid
2310,Men,Running,Air Zoom,XL,1,5548.255,0.0,5548.26,2025-04-02,Online,Kolkata,-1061.45,Sale,Valid
2312,Kids,Soccer,Premier III,,2,6060.035,0.0,12120.07,2024-09-30,Online,Bangalore,249.56,Sale,Valid
2314,Women,Soccer,Mercurial Superfly,M,2,6769.465,0.86,1895.45,2024-09-12,Retail,Mumbai,1505.11,Sale,Valid
